date,poi-1,poi-2,poi-3,poi-4,poi-5,poi-6,poi-7,poi-8,poi-9,poi-10,poi-11,poi-12,poi-13,poi-14,poi-15,poi-16,poi-17,poi-18,poi-19,poi-20,poi-21,poi-22,poi-23,poi-24,poi-25,poi-26,poi-27,poi-28,poi-29,poi-30,poi-31,poi-32,poi-33,poi-34,poi-35,poi-36,poi-37,poi-38,poi-39,poi-40,poi-41,poi-42,poi-43,poi-44,poi-45,poi-46,poi-47,poi-48,poi-49,poi-50,poi-51,poi-52,poi-53,poi-54,poi-55,poi-56,poi-57,poi-58,poi-59,poi-60,poi-61,poi-62,poi-63,poi-64,poi-65,poi-66,poi-67,poi-68,poi-69,poi-70,poi-71,poi-72,poi-73,poi-74,poi-75,poi-76,poi-77,poi-78,poi-79,poi-80,poi-81,poi-82,poi-83,poi-84,poi-85,poi-86,poi-87,poi-88,poi-89,poi-90,poi-91,poi-92,poi-93,poi-94,poi-95,poi-96,poi-97,poi-98,poi-99,poi-100,poi-101,poi-102,poi-103,poi-104,poi-105,poi-106,poi-107,poi-108,poi-109,poi-110,poi-111,poi-112,poi-113,poi-114,poi-115,poi-116,poi-117,poi-118,poi-119,poi-120,poi-121,poi-122,poi-123
2017_08_01,35,24,12,8,19,68,3,7,49,23,8,200,7,27,99,15,36,13,7,40,1,12,32,5,8,45,2,10,12,13,13,26,11,13,15,5,9,23,5,7,10,18,3,5,0,115,6,1,0,5,122,1,3,12,5,4,69,2,7,4,53,4,55,5,5,16,5,6,0,17,45,0,12,20,8,21,0,16,19,16,75,0,9,9,80,9,0,25,17,6,9,0,1,6,8,2,25,2,26,38,31,58,2,9,4,18,45,12,17,12,0,2,6,4,6,0,16,0,3,11,5,3,0
2017_08_13,40,22,19,20,19,51,2,7,55,22,9,197,5,13,98,25,54,12,16,63,0,15,39,14,7,36,1,19,15,24,10,21,14,8,17,4,6,21,4,10,4,35,0,5,1,86,10,0,0,8,149,0,1,13,6,4,72,2,8,9,37,4,46,6,9,17,2,6,3,23,31,2,12,13,6,24,0,19,13,16,85,0,16,11,75,8,2,25,7,7,6,6,0,2,13,2,34,0,21,31,22,43,5,9,6,20,43,7,16,10,2,1,9,2,6,2,15,2,4,9,6,3,0
2017_08_17,21,35,9,7,18,56,2,10,50,26,8,205,12,15,97,23,33,12,7,47,0,15,39,8,10,41,1,13,14,19,8,21,13,10,18,1,8,22,5,13,8,29,0,0,1,119,6,1,0,8,95,1,4,6,7,3,92,2,6,6,37,8,49,3,7,13,2,7,2,11,30,1,10,24,10,23,3,20,12,13,70,1,8,8,77,6,2,18,13,5,5,3,0,6,8,0,32,0,30,38,22,49,1,9,7,18,43,8,16,7,2,3,11,2,7,1,14,1,3,7,8,3,0
2017_08_21,23,25,11,9,14,56,3,10,49,26,8,171,21,20,79,25,30,11,7,37,0,12,32,13,10,42,0,15,15,25,9,26,7,7,6,1,7,7,9,12,5,29,1,3,1,85,7,0,1,5,112,0,3,10,8,0,71,0,15,3,35,10,53,2,10,13,5,7,0,25,44,0,14,18,7,16,3,23,26,22,80,2,9,10,93,10,1,20,8,5,7,1,1,5,12,0,30,1,20,42,22,43,1,10,5,19,47,9,16,9,0,1,9,4,8,2,8,1,2,9,8,2,0
2017_08_29,39,48,13,5,10,55,3,6,52,26,12,171,8,23,87,9,55,9,11,39,1,8,44,7,6,41,0,22,10,29,8,25,8,6,10,3,6,5,6,7,7,22,4,3,1,115,5,1,1,5,147,1,4,5,5,3,92,2,8,9,42,5,51,2,8,8,2,10,1,12,45,1,10,14,8,26,3,24,30,13,77,1,11,9,75,8,1,17,8,8,8,3,0,2,18,1,31,1,31,34,29,37,1,9,5,20,48,10,17,10,3,1,10,4,6,0,18,0,5,9,7,3,0
2017_09_11,30,29,9,6,13,50,2,8,50,18,6,185,13,20,85,22,47,8,4,47,0,12,49,19,10,35,0,16,10,22,6,27,10,7,7,5,10,14,3,9,6,26,4,4,0,103,6,0,0,6,110,2,2,10,9,0,94,0,8,9,48,10,46,4,5,14,6,5,1,10,43,1,20,8,9,15,0,21,27,17,83,0,14,11,71,10,1,14,15,7,7,4,1,5,16,2,23,2,27,28,25,56,5,6,5,22,41,12,20,8,3,2,9,2,8,3,9,2,5,8,9,2,0
2017_09_13,30,48,9,14,23,69,3,6,52,17,12,204,10,20,80,11,59,15,15,65,0,6,30,12,7,35,3,24,11,18,8,21,8,8,18,3,10,25,9,9,10,27,1,2,0,79,7,1,0,5,98,1,0,9,10,4,88,1,8,8,43,4,55,6,8,10,3,9,2,20,48,1,12,12,9,28,2,25,26,25,73,2,8,13,77,8,0,15,16,6,11,5,1,5,17,0,24,2,25,41,30,45,3,9,7,21,47,9,21,8,3,3,11,4,6,2,20,0,3,10,4,0,0
2017_09_16,45,37,18,7,22,59,3,10,54,17,9,174,13,30,81,22,30,8,12,41,1,17,44,12,8,43,0,11,5,15,15,20,15,5,8,2,7,18,9,7,3,33,4,0,0,80,6,1,1,5,101,0,3,12,5,0,71,2,7,9,46,9,40,0,6,11,5,9,3,16,47,1,13,27,7,19,2,26,13,18,73,2,11,12,86,8,2,27,18,6,10,3,0,3,13,0,22,3,24,28,34,61,2,5,7,22,46,8,16,12,0,2,10,0,5,3,18,0,4,9,8,0,0
2017_10_10,37,25,7,7,22,65,3,9,53,21,14,185,17,17,92,23,60,10,5,34,0,19,49,11,6,41,1,19,11,18,9,19,9,8,20,1,5,18,9,16,9,19,4,1,1,83,8,1,0,8,126,0,0,12,7,3,77,2,6,7,52,9,43,1,8,9,4,6,1,10,49,0,17,10,9,30,2,23,26,27,78,0,15,17,86,6,2,15,7,6,7,0,0,5,16,1,26,3,27,39,29,60,6,9,5,16,42,8,19,10,0,3,7,4,5,3,14,0,5,8,6,3,0
2017_10_16,26,27,10,6,19,52,2,9,49,26,9,176,15,14,93,15,54,16,9,62,1,13,48,16,7,41,1,17,6,29,15,30,13,5,5,5,7,5,4,20,8,16,3,1,1,88,6,1,1,7,114,1,0,12,10,1,82,2,15,4,40,5,54,2,6,14,3,9,2,25,44,2,19,18,7,21,1,23,26,27,68,0,20,17,85,8,0,21,5,7,11,3,0,7,20,1,16,2,29,32,21,58,3,9,7,16,39,11,20,11,1,1,7,3,8,3,13,0,2,11,4,0,0
2017_10_18,34,30,10,14,23,58,3,6,50,19,11,180,17,20,81,9,51,6,7,52,1,12,33,20,9,45,1,24,11,23,11,26,11,8,18,5,5,24,4,15,4,19,4,2,1,107,9,1,0,7,106,2,1,5,9,4,72,0,11,9,49,4,35,6,5,16,3,6,2,10,33,1,17,34,9,14,0,25,14,20,78,2,20,14,71,10,0,23,13,5,6,4,1,3,11,1,25,0,25,41,29,38,0,10,6,22,40,13,25,7,4,4,10,1,6,3,16,0,2,7,6,2,0
2017_10_20,23,36,18,19,15,58,2,8,49,18,14,200,19,30,85,25,63,13,15,50,0,18,41,20,9,45,3,11,12,18,8,26,14,8,11,3,6,25,8,14,3,27,2,4,1,101,5,0,1,8,98,2,3,5,6,4,77,1,9,8,56,8,44,2,7,20,2,10,3,15,40,2,17,9,10,21,1,22,26,25,80,2,18,10,85,9,1,20,6,8,9,5,0,2,19,0,24,2,20,32,34,34,6,8,5,20,47,9,27,10,1,1,8,1,8,0,7,1,4,8,8,1,0
2017_10_22,29,35,10,6,15,70,2,5,53,26,7,217,9,13,93,20,57,13,6,44,1,16,47,8,6,42,2,23,6,20,12,25,9,13,7,4,10,6,5,8,5,26,4,2,1,104,8,0,1,7,106,1,1,6,6,2,88,1,13,8,39,5,37,0,8,20,2,5,1,10,42,0,16,12,6,28,0,17,26,14,61,1,18,11,87,6,2,24,15,8,11,1,0,5,10,1,22,2,27,32,28,41,3,7,5,22,45,8,27,9,2,1,7,3,5,2,11,1,8,9,7,1,0
2017_08_18,32,50,17,19,8,55,2,6,52,17,6,175,15,13,91,15,46,9,12,58,0,17,32,18,7,36,3,17,9,20,11,26,14,13,16,2,7,17,8,19,9,16,4,0,0,84,10,1,1,7,109,2,3,14,6,4,85,2,11,7,37,6,54,0,7,8,2,8,3,22,33,2,19,16,10,25,0,26,13,16,82,1,17,10,94,10,0,17,8,6,11,5,0,4,9,1,19,0,21,39,21,47,0,9,5,22,50,11,18,12,0,1,7,4,6,1,19,1,2,7,9,2,1
2017_08_20,38,44,9,7,23,65,2,10,52,20,12,197,20,23,75,22,59,14,7,64,1,19,43,17,8,43,0,27,10,21,13,29,11,10,7,3,10,16,3,9,10,20,3,2,1,116,6,0,0,7,149,2,0,13,9,0,90,0,6,7,40,8,45,1,8,17,2,9,1,10,36,1,16,32,10,21,1,21,10,23,65,2,20,10,97,10,1,14,5,5,6,0,0,2,15,0,17,2,36,40,31,45,6,10,5,22,40,7,17,7,1,3,6,2,8,3,6,2,4,7,7,1,1
2017_08_22,34,43,18,8,14,55,3,10,51,22,10,206,12,13,76,9,38,11,13,32,0,10,31,14,7,45,1,27,11,21,5,27,12,7,10,3,7,23,3,7,8,30,4,0,1,86,10,0,0,5,97,0,4,14,8,1,73,1,11,9,53,7,54,2,5,8,3,7,1,22,33,2,9,33,9,15,2,24,30,17,78,2,15,15,77,7,1,25,17,5,11,4,1,6,9,2,32,2,32,37,18,54,3,10,5,16,49,12,26,8,4,2,9,4,7,3,8,2,4,9,4,2,1
2017_08_25,38,26,8,11,13,55,2,8,53,23,9,193,5,25,82,23,51,11,7,32,1,17,39,12,7,44,0,14,6,26,8,31,14,12,7,3,6,20,7,12,2,30,0,3,1,101,9,0,1,8,91,2,4,14,9,4,85,0,7,5,56,7,52,5,8,10,3,10,3,10,40,0,9,32,6,29,0,16,11,18,82,0,13,8,75,6,2,25,13,8,8,4,0,6,8,1,21,0,35,27,19,53,4,6,6,16,49,12,25,11,0,3,11,3,5,0,5,1,7,10,8,1,1
